operateur,region,prefecture,commune,canton,localite,nom,adresse,annee_creation,lat,lon
Moov,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Moov Sotouboua,"Agence Moov Sotouboua, Sotouboua",Nsp,8.560676666666666,0.9770733333333333
Moov,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Kossobio,Agence Moov Sokode,"Agence Moov Sokode, Kossobio, 400BP7010/C Direction",2011,8.989586208250028,1.1388047548912492
Moov,Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Sous L'antenne ,Agence Moov Blitta Sous L'Antenne ,"Agence Moov Blitta Sous L'Antenne , Blitta Sous L'Antenne ",2018,8.339181715780521,1.0083930421985017
Moov,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe,Moov Store Agoe,"Moov Store Agoe, Agoe",Nsp,6.2217219240318204,1.2093339414432598
Moov,Maritime,Golfe,Golfe 6,Baguida,Baguida,Moov Store Baguida,"Moov Store Baguida, Baguida",Nsp,6.167401666666666,1.3379933333333334
Moov,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Agence Moov Sagbado,"Agence Moov Sagbado, Sagbado",2018,6.1936800000000005,1.13712
Moov,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Telessou ,Agence Moov Store Telessou,"Agence Moov Store Telessou, Telessou ",Nsp ,6.213509940345563,1.1745742061042703
Moov,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidoadin,Agence Moov Adidoadin,"Agence Moov Adidoadin, Adidoadin",Nsp,6.199214219034881,1.1883008398175776
Moov,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Moov Nukafu,"Agence Moov Nukafu, Nukafu",2017,6.170216280162648,1.2344614186634568
Moov,Maritime,Golfe,Golfe 1,Bè-Est,Kpota,Agence Moov Be Kpota,"Agence Moov Be Kpota, Kpota",2017,6.157663333333333,1.2552833333333333
Moov,Maritime,Golfe,Golfe 1,Bè-Est,Ocam,Agence Moov Ocam,"Agence Moov Ocam, Ocam, BP14511 Lomé ",Nsp,6.130493333333334,1.24004
Moov,Maritime,Golfe,Golfe 4,Amoutivé,Hanoukope,Agence Moov Hanoukope,"Agence Moov Hanoukope, Hanoukope",2013,6.135790653612904,1.219526636567681
Moov,Maritime,Golfe,Golfe 1,Bè-Est,Adakpame,Agence Moov Teddycom Adakpame,"Agence Moov Teddycom Adakpame, Adakpame, 21BP182",2019,6.159930000000001,1.2848016666666666
Moov,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Agence Moov Akodessewa,"Agence Moov Akodessewa, Akodessewa",Nsp,6.149535176503007,1.2537440894895422
Moov,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adjidogome,Agence Moov Adidogome,"Agence Moov Adidogome, Adjidogome, BP14511 Lomé ",2018,6.185315000000001,1.1666133333333333
Moov,Maritime,Golfe,Golfe 1,Bè-Est,Privilège ,Agence Moov Privilège,"Agence Moov Privilège, Privilège ",Nsp,6.152183407357222,1.2407955937059894
Moov,Maritime,Zio,Zio 1,Tsévié,Daviemondji,Moov Store Tsevie,"Moov Store Tsevie, Daviemondji",2020,6.410936666666667,1.2091516666666666
Moov,Maritime,Golfe,Golfe 2,Bè-Centre,Aeroport Lome,Agence Moov Aeroport Lome,"Agence Moov Aeroport Lome, Aeroport Lome",2017,6.170390811463834,1.2530180124498576
Moov,Kara,Kozah,Kozah 1,Commune De Kara,Batassoukome,Agence Moov Kara,"Agence Moov Kara, Batassoukome",2007,9.546851666666667,1.1884416666666666
Moov,Kara,Bassar,Bassar 1,Bassar,Bassar,Agence Moov Bassar,"Agence Moov Bassar, Bassar",Nsp,9.262368333333335,0.781485
Moov,Maritime,Zio,Zio 1,Djagblé,Djagble Centre,Moov Store Djagble Centre,"Moov Store Djagble Centre, Djagble Centre",2020,6.253717219782764,1.282715644370347
Moov,Maritime,Avé,Avé 1,Assahoun,Kpetoume ,Agence Moov Kpetoume ,"Agence Moov Kpetoume , Kpetoume ",Nsp ,6.448079479499792,0.9153915164331609
Moov,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Atakpame Kondji,Agence Moov Atakpame Kondji,"Agence Moov Atakpame Kondji, Atakpame Kondji",2012,6.912437527210687,0.6323238302268985
Moov,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Kpele Adeta ,Moov Store de Kpele Adeta,"Moov Store de Kpele Adeta, Kpele Adeta ",2021,7.132038333333332,0.7312633333333333
Moov,Plateaux,Anié,Anié 1,Anié,Anie,Agence Moov Anie,"Agence Moov Anie, Anie",Nsp,7.759781666666667,1.1934399999999998
Moov,Plateaux,Haho,Haho 1,Notsé,Tegbe,Agence Moov Notse,"Agence Moov Notse, Tegbe",2011,6.953371969046462,1.1710633871826346
Moov,Savanes,Tône,Tône 1,Dapaong,"Dapaong, Quartier Natebagou",Franchise Moov Dapaong,"Franchise Moov Dapaong, Dapaong, Quartier Natebagou",2011,10.876091666666666,0.2028833333333333
Moov,Savanes,Cinkassé,Cinkassé 1,Cinkassé,Cinkanssé ,Franchise Moov Cinkanssé,"Franchise Moov Cinkanssé, Cinkanssé ",2011,11.097228333333332,0.020775
Togocom,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Laowe,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Laowe",Nsp,8.561571052152336,0.985734376020098
Togocom,Maritime,Golfe,Golfe 4,Amoutivé,Assivito,Agence Togocom Assivito,"Agence Togocom Assivito, Assivito",2022,6.130468333333332,1.221865
Togocom,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Zongo,Boutique Togocom Tchakala,"Boutique Togocom Tchakala, Zongo, BP244 Sokodé",2014,8.98419873591971,1.1404672575309502
Togocom,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Barriere,Agence Togocom Sokode,"Agence Togocom Sokode, Barriere, BP333",2007,8.995775168282453,1.1364225484392025
Togocom,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah ,Agence Togocom Franchise Koma,"Agence Togocom Franchise Koma, Komah ",2019,8.969711814416957,1.149767464182392
Togocom,Centrale,Tchamba,Tchamba 1,Tchamba,Iyiwa,Agence Togocom Tchamba,"Agence Togocom Tchamba, Iyiwa, Quartier Atchanve, place de la réconciliation,BP333 Lomé ",2013,9.021938333333333,1.4154333333333333
Togocom,Centrale,Tchamba,Tchamba 3,Kaboli,Kaboli,Franchise Togocom Kaboli,"Franchise Togocom Kaboli, Kaboli",2019,8.746319999999999,1.5930066666666667
Togocom,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Agence Togocom Sotouboua,"Agence Togocom Sotouboua, Sotouboua, ",2012,8.56147247694421,0.9748136443222274
Togocom,Centrale,Blitta,Blitta 1,Blitta-Village,Blitta Village,Agence Togocom Blitta,"Agence Togocom Blitta, Blitta Village",2018,8.3431775078664,1.0102778708306066
Togocom,Maritime,Golfe,Golfe 6,Baguida,Baguida,Agence Togocom Baguida,"Agence Togocom Baguida, Baguida",2001,6.168715,1.3425133333333332
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Leader Price,Agence Togocom Agoe,"Agence Togocom Agoe, Agoe Leader Price",Nsp,6.231077994677203,1.210900071561107
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Assiyeye,Franchise Togocom Agoe Assiyeye,"Franchise Togocom Agoe Assiyeye, Agoe Assiyeye, LIBRAIRIE BON PASTEUR",Nsp,6.230627236213058,1.1990666082427899
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Nyiveme,Franchise Togocom Agoe Nyiveme,"Franchise Togocom Agoe Nyiveme, Agoe Nyiveme",2018,6.2209900074794575,1.2061866204763845
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Agoe Plateau,Franchise Togocom Agoe Plateau,"Franchise Togocom Agoe Plateau, Agoe Plateau",Nsp,6.21647,1.1871283333333333
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Elavagno Kleve,Agence Togocom Elavagno Kleve,"Agence Togocom Elavagno Kleve, Elavagno Kleve",Nsp,6.2111736,1.1666036
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Anokui,Franchise Togocom Agoe Anokui,"Franchise Togocom Agoe Anokui, Anokui",Nsp,6.242343333333334,1.1871983333333334
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Zossime,Agence Togocom Zossime,"Agence Togocom Zossime, Zossime",2017,6.233276083750482,1.149106424593853
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Agoe Zongo,Franchise Togocom Togblekope,"Franchise Togocom Togblekope, Agoe Zongo",2010,6.2575874100528965,1.2080261674107036
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Adeticope Centre,Franchise Togocom Adeticope,"Franchise Togocom Adeticope, Adeticope Centre",2018,6.3173511047052155,1.2177537159215872
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Logope ,Franchise Togocom Bewise,"Franchise Togocom Bewise, Logope , 07BP14544",2019,6.241372703033745,1.1685836153911537
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,Franchise Togocom Legbassito,"Franchise Togocom Legbassito, Legbassito",2018,6.266943333333334,1.1549966666666667
Togocom,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome,Agence Togocom Adigome,"Agence Togocom Adigome, Adidogome",Nsp,6.176719403333803,1.17849303184076
Togocom,Maritime,Golfe,Golfe 7,Aflao-Sagbado,Sagbado,Boutique Togocom Sagbado,"Boutique Togocom Sagbado, Sagbado",2015,6.193598287324705,1.1398874950724767
Togocom,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adidogome Madiba,Agence Togocom Madiba,"Agence Togocom Madiba, Adidogome Madiba, 31BP13 Lomé",2019,6.19941,1.1496116666666665
Togocom,Maritime,Golfe,Golfe 5,Aflao-Gakli,Totsi,Agence Togocom Totsi,"Agence Togocom Totsi, Totsi, BP333",2009,6.190435,1.19183
Togocom,Maritime,Golfe,Golfe 5,Aflao-Gakli,Aflao Gakli ,Agence Togocom Aflao Gakli,"Agence Togocom Aflao Gakll, Aflao Gakli , PB 330",2019,6.16972778352689,1.1997529975220893
Togocom,Maritime,Golfe,Golfe 3,Bè-Ouest,Nukafu,Agence Togocom Nukafu,"Agence Togocom Nukafu, Nukafu",Nsp ,6.1644454,1.2344596
Togocom,Maritime,Golfe,Golfe 4,Amoutivé,Nyekonakpoe,Agence Togocom Place de L'Indépendance,"Agence Togocom Place de L'Indépendance, Nyekonakpoe",2013,6.129416666666667,1.2146216666666667
Togocom,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Sanguera,Franchise Togocom Sanguera,"Franchise Togocom Sanguera, Sanguera",2021,6.2320899999999995,1.1107266666666669
Togocom,Maritime,Golfe,Golfe 2,Bè-Centre,Hedzranawoe,Agence Togocom Hedzranawoe,"Agence Togocom Hedzranawoe, Hedzranawoe",2019,6.1791599999999995,1.2401200000000001
Togocom,Maritime,Golfe,Golfe 2,Bè-Centre,Aéroport ,Agence Togocom Aéroport,"Agence Togocom Aéroport, Aéroport ",Nsp ,6.170704783267905,1.253233822136575
Togocom,Maritime,Golfe,Golfe 1,Bè-Est,Ahadji Kpota,Agence Togocom Ahadji Kpota,"Agence Togocom Ahadji Kpota, Ahadji Kpota",2020,6.161972925390809,1.2843859759132503
Togocom,Maritime,Golfe,Golfe 1,Bè-Est,Port,Agence Togocom Propre Port,"Agence Togocom Propre Port, Port, BP333",Nsp ,6.14345,1.2760933333333333
Togocom,Maritime,Golfe,Golfe 1,Bè-Est,Mono,Agence Togocom Mono,"Agence Togocom Mono, Mono",Nsp ,6.136723976258841,1.2617222599457436
Togocom,Maritime,Zio,Zio 1,Abobo,Gatokope ,Agence Togocom Store Djagble,"Agence Togocom Store Djagble, Gatokope ",Nsp ,6.265293428880892,1.2854432486294676
Togocom,Kara,Kozah,Kozah 1,Commune De Kara,Dongoyo,Agence Togocom Dongoyo,"Agence Togocom Dongoyo, Dongoyo",1998,9.549365,1.186815
Togocom,Kara,Bassar,Bassar 1,Bassar,Bassar,Agence Togocom Bassar,"Agence Togocom Bassar, Bassar",1998,9.25998,0.78035
Togocom,Kara,Kéran,Kéran 1,Kantè,Yotouw,Franchise Togocom Kante,"Franchise Togocom Kante, Yotouw",2013,9.959168333333334,1.0493400000000002
Togocom,Kara,Kéran,Kéran 1,Kantè,Mandouta,Agence Togocom Kante,"Agence Togocom Kante, Mandouta",Nsp,9.955556666666666,1.0550416666666667
Togocom,Kara,Assoli,Assoli 1,Bafilo,Zogo,Agence Togocom Bafilo,"Agence Togocom Bafilo, Zogo",2012,9.35412840013568,1.243980329013687
Togocom,Kara,Dankpen,Dankpen 1,Guérin-Kouka,Guerin Kouka Centre,Agence Togocom Guérin Kouka,"Agence Togocom Guérin Kouka, Guerin Kouka Centre",2012,9.687276666666666,0.6085550000000001
Togocom,Maritime,Zio,Zio 1,Tsévié,Tsevie,Agence Togocom Tsevie,"Agence Togocom Tsevie, Tsevie",2020,6.408834999999999,1.2079766666666667
Togocom,Kara,Bassar,Bassar 3,Kabou,Kabou Marche,Agence Togocom Kabou Marche,"Agence Togocom Kabou Marche, Kabou Marche",2019,9.452944931014047,0.8122702048081362
Togocom,Maritime,Avé,Avé 1,Kévé,Quartier Latin,Agence Togocom Quartier Latin,"Agence Togocom Quartier Latin, Quartier Latin",2018,6.43472,0.9252233333333333
