canton_id,canton,commune,prefecture,region,couverture_mobile,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_hab,ecoles_15km_hab,marches_nb,postes_nb,n_agents_mm
A01001001,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Maritime,100,93.26,100,848,378351,378351,5,4,446
A01002002,Légbassito,Agoè-Nyivé 2,Agoè-Nyivé,Maritime,100,84.1,100,4288,158640,158640,3,1,37
A01003003,Vakpossito,Agoè-Nyivé 3,Agoè-Nyivé,Maritime,100,100,100,277,72792,72792,1,1,263
A01004004,Togblekope,Agoè-Nyivé 4,Agoè-Nyivé,Maritime,100,67.33,100,660,170336,170336,5,1,258
A01005005,Sanguera,Agoè-Nyivé 5,Agoè-Nyivé,Maritime,100,84.71,100,2191,212574,212574,4,2,97
A01006006,Adétikopé,Agoè-Nyivé 6,Agoè-Nyivé,Maritime,100,86.85,100,195,57874,57868,2,1,297
A02007007,Kévé,Avé 1,Avé,Maritime,99.92,56.69,43.24,1101,5751,11406,1,1,11
A02007008,Assahoun,Avé 1,Avé,Maritime,61.95,70.16,73.92,241,8252,9923,2,0,43
A02007009,Tovégan,Avé 1,Avé,Maritime,6.11,25.69,0,1646,8852,12931,2,0,9
A02007010,Ando,Avé 1,Avé,Maritime,0,16.39,3.23,2096,4834,8661,1,0,5
A02007011,Zolo,Avé 1,Avé,Maritime,44.17,70.32,27.96,601,5122,5757,1,0,10
A02008013,Aképé,Avé 2,Avé,Maritime,100,70.33,43.91,560,12200,12242,2,0,22
A02008014,Badja,Avé 2,Avé,Maritime,100,47.74,0,838,6142,7483,1,0,10
A02008012,Noépé,Avé 2,Avé,Maritime,100,72.99,0,465,7444,7483,1,0,17
A03009015,Kpétsou,Bas-Mono 1,Bas-Mono,Maritime,100,70.47,11.36,704,13354,13339,2,0,19
A03009016,Afagnan-Gbléta,Bas-Mono 1,Bas-Mono,Maritime,100,44.84,53.5,857,35994,35994,3,1,42
A03009017,Afagnangan,Bas-Mono 1,Bas-Mono,Maritime,100,92.48,96.07,238,20884,20654,1,0,88
A03010018,Attitogon,Bas-Mono 2,Bas-Mono,Maritime,100,69.11,6.16,1194,27462,27354,2,0,23
A03010019,Hompou,Bas-Mono 2,Bas-Mono,Maritime,100,17.12,0,5789,5693,5779,0,0,1
A03010020,Agome-Glozou,Bas-Mono 2,Bas-Mono,Maritime,100,59.76,6.31,1024,6146,6028,3,0,6
A04013024,Bè-Ouest,Golfe 3,Golfe,Maritime,100,94.61,100,489,137458,135786,4,6,281
A04015026,Aflao-Gakli,Golfe 5,Golfe,Maritime,100,100,100,200,212655,212655,6,3,1062
A04016027,Baguida,Golfe 6,Golfe,Maritime,100,96.55,99.71,450,216740,216740,7,2,482
