canton_id,region,prefecture,commune,canton,couverture_mobile_pct,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_habitants,ecoles_15km_habitants,marches_nb,postes_nb,n_banques,n_mfi,n_poste,n_distributeurs
A01001001,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,100,93.26,100,848,378351,378351,5,4,7,22,4,9
A01002002,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,100,84.1,100,4288,158640,158640,3,1,0,6,1,0
A01003003,Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,100,100,100,277,72792,72792,1,1,1,5,1,1
A01004004,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,100,67.33,100,660,170336,170336,5,1,3,2,1,2
A01005005,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,100,84.71,100,2191,212574,212574,4,2,0,5,2,1
A01006006,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,100,86.85,100,195,57874,57868,2,1,1,7,1,1
A02007007,Maritime,Avé,Avé 1,Kévé,99.92,56.69,43.24,1101,5751,11406,1,1,1,2,1,0
A02007008,Maritime,Avé,Avé 1,Assahoun,61.95,70.16,73.92,241,8252,9923,2,0,2,3,0,2
A02007009,Maritime,Avé,Avé 1,Tovégan,6.11,25.69,0,1646,8852,12931,2,0,0,1,0,0
A02007010,Maritime,Avé,Avé 1,Ando,0,16.39,3.23,2096,4834,8661,1,0,0,0,0,0
A02007011,Maritime,Avé,Avé 1,Zolo,44.17,70.32,27.96,601,5122,5757,1,0,0,1,0,0
A02008013,Maritime,Avé,Avé 2,Aképé,100,70.33,43.91,560,12200,12242,2,0,0,2,0,0
A02008014,Maritime,Avé,Avé 2,Badja,100,47.74,0,838,6142,7483,1,0,0,1,0,0
A02008012,Maritime,Avé,Avé 2,Noépé,100,72.99,0,465,7444,7483,1,0,0,1,0,0
A03009015,Maritime,Bas-Mono,Bas-Mono 1,Kpétsou,100,70.47,11.36,704,13354,13339,2,0,0,0,0,0
A03009016,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,100,44.84,53.5,857,35994,35994,3,1,0,0,1,0
A03009017,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,100,92.48,96.07,238,20884,20654,1,0,0,2,0,0
A03010018,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,100,69.11,6.16,1194,27462,27354,2,0,0,1,0,0
A03010019,Maritime,Bas-Mono,Bas-Mono 2,Hompou,100,17.12,0,5789,5693,5779,0,0,0,0,0,0
A03010020,Maritime,Bas-Mono,Bas-Mono 2,Agome-Glozou,100,59.76,6.31,1024,6146,6028,3,0,0,0,0,0
A04013024,Maritime,Golfe,Golfe 3,Bè-Ouest,100,94.61,100,489,137458,135786,4,6,14,7,6,18
A04015026,Maritime,Golfe,Golfe 5,Aflao-Gakli,100,100,100,200,212655,212655,6,3,22,23,3,12
A04016027,Maritime,Golfe,Golfe 6,Baguida,100,96.55,99.71,450,216740,216740,7,2,10,12,2,8
A04017028,Maritime,Golfe,Golfe 7,Aflao-Sagbado,100,80.63,97.81,563,437169,437268,3,2,0,14,2,2
A04014025,Maritime,Golfe,Golfe 4,Amoutivé,100,100,100,135,109069,109069,9,2,20,3,2,18
A04011022,Maritime,Golfe,Golfe 1,Bè-Est,100,97.26,99.94,193,242446,242446,14,2,27,25,2,21
A04012023,Maritime,Golfe,Golfe 2,Bè-Centre,100,100,100,320,145401,145401,4,2,7,2,2,14
A05018029,Maritime,Lacs,Lacs 1,Aného,100,100,0,258,14682,14682,1,1,1,0,1,0
A05018030,Maritime,Lacs,Lacs 1,Glidji,100,72,0,37,1173,1163,3,0,0,0,0,0
A05018031,Maritime,Lacs,Lacs 1,Canton D’Aneho,100,100,0,75,6206,6206,2,0,6,3,0,0
A05019032,Maritime,Lacs,Lacs 2,Aklakou,99.93,75.49,0,507,12098,12984,1,1,1,1,1,0
A05019033,Maritime,Lacs,Lacs 2,Agouégan,100,51.94,0,1293,10639,15330,1,0,0,0,0,0
A05020034,Maritime,Lacs,Lacs 3,Agbodrafo,100,99.81,0,274,49029,49029,3,1,1,2,1,0
A05021035,Maritime,Lacs,Lacs 4,Anfoin,100,85.53,0,250,11753,11753,1,1,1,2,1,0
A05021036,Maritime,Lacs,Lacs 4,Fiata,100,66.01,0,688,16753,17058,2,0,0,0,0,0
A05021037,Maritime,Lacs,Lacs 4,Ganavé,100,84.33,0,453,6342,6323,1,0,0,0,0,0
A06022038,Maritime,Vo,Vo 1,Vogan,100,57.73,0,325,51932,56928,2,1,4,4,1,3
A06022039,Maritime,Vo,Vo 1,Vo-Koutimé,100,88.93,0,619,22270,22270,3,0,0,0,0,0
A06023040,Maritime,Vo,Vo 2,Togoville,100,96.82,0,191,8576,8523,4,0,0,1,0,0
A06023041,Maritime,Vo,Vo 2,Anyron-Kopé,100,47.92,0,60,422,413,2,0,0,0,0,0
A06024042,Maritime,Vo,Vo 3,Dagbati,100,36.06,0.14,1311,32918,34007,2,0,0,0,0,0
A06024043,Maritime,Vo,Vo 3,Dzrékpo,100,78.89,0,392,22377,22712,2,0,0,2,0,0
A06024044,Maritime,Vo,Vo 3,Mome-Hounkpati,100,82.36,0.19,586,8937,9377,1,0,0,0,0,0
A06025045,Maritime,Vo,Vo 4,Sévagan,100,36.47,0,249,3738,3738,1,0,0,0,0,0
