region,prefecture,commune,canton,nom,lat,lon,type_service
Maritime,Golfe,Golfe 5,Aflao-Gakli,BTCI Amadahome,6.20354,1.16543,banque
Maritime,Golfe,Golfe 6,Baguida,BTCI Baguida,6.1675,1.3382,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,BTCI Agbalepedogan,6.19762,1.20074,banque
Plateaux,Ogou,Ogou 1,Gnagna,SUNU Bank Yata,7.51964,1.14038,banque
Maritime,Golfe,Golfe 4,Amoutivé,Direction générale Siab Togo,6.12361,1.22459,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,UTB Agence Totsi,6.1965,1.18756,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),BTCI Sokode,8.98867,1.13894,banque
Centrale,Mô,Mô 1,Djarkpanga,SPT Djarkpanga,8.78294,0.5641,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),ECOBANK Sokode,8.98845,1.13931,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Banque Atlantique Sokodé,8.98742,1.13971,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),BSIC Sokode,8.99039,1.13807,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),SPT Sokode,8.98505,1.14038,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),ORABANK Sokode,8.98812,1.13501,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),BOA Sokodé,8.98817,1.13942,banque
Maritime,Golfe,Golfe 1,Bè-Est,SUNU Bank Akodessewa,6.14085,1.24098,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),CORIS Bank Sokode,8.98978,1.13834,banque
Centrale,Tchamba,Tchamba 1,Tchamba,UTB Tchamba,9.02835,1.41589,banque
Maritime,Golfe,Golfe 4,Amoutivé,ORABANK Nyékonakpoè,6.13009,1.21372,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),SUNU Bank Sokodé,8.97384,1.13629,banque
Centrale,Sotouboua,Sotouboua 1,Sotouboua,SUNU Bank Sotouboua,8.56456,0.97894,banque
Centrale,Sotouboua,Sotouboua 1,Sotouboua,UTB de Sotouboua,8.56132,0.97621,banque
Centrale,Sotouboua,Sotouboua 1,Sotouboua,ORABANK de Sotouboua,8.56078,0.97517,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,Banque Atlantique Adidoadin,6.1998,1.18821,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),UTB Sokodé,8.98425,1.13975,banque
Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,SPT Kpangalam,9.00954,1.13619,banque
Centrale,Blitta,Blitta 1,Pagala-Gare,SPT Pagala Gare,8.1839,0.96497,banque
Centrale,Blitta,Blitta 1,Blitta,UTB Lamakaza,8.33103,0.98621,banque
Centrale,Sotouboua,Sotouboua 1,Sotouboua,SPT Sotouboua,8.56437,0.97758,banque
Maritime,Golfe,Golfe 1,Bè-Est,BIA Togo de Be Apeyeyeme,6.14095,1.24033,banque
Centrale,Sotouboua,Sotouboua 2,Adjengré,SPT ADjengre,8.65936,1.01905,banque
Centrale,Blitta,Blitta 1,Blitta,STP Blitta,8.32469,0.97823,banque
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,ORABANK Assiyeye,6.23293,1.19724,banque
Maritime,Golfe,Golfe 1,Bè-Est,SGT Lomé Port,6.14323,1.27442,banque
Maritime,Golfe,Golfe 6,Baguida,Banque Altantique Luxolin,6.16123,1.31581,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,CORIS Bank ADidogome Madiba,6.19799,1.15136,banque
Maritime,Golfe,Golfe 6,Baguida,SPT Avepozo,6.1693,1.3447,banque
Maritime,Golfe,Golfe 4,Amoutivé,BOA Dekon,6.13637,1.22686,banque
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,CORIS Bank ADIDO-ADIN,6.20905,1.18949,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,IB Bank Agbalépédogan,6.19759,1.20084,banque
Maritime,Golfe,Golfe 3,Bè-Ouest,NSIA Banque Agbalepedogan,6.18844,1.20758,banque
Maritime,Golfe,Golfe 1,Bè-Est,BIA Togo Akodessewa,6.15543,1.26715,banque
Maritime,Golfe,Golfe 1,Bè-Est,CORIS Bank d'Akodessewa,6.15892,1.28422,banque
Maritime,Golfe,Golfe 1,Bè-Est,ORABANK du Port,6.13903,1.26661,banque
Maritime,Golfe,Golfe 1,Bè-Est,SPT Akodessewa,6.15156,1.26723,banque
Maritime,Golfe,Golfe 1,Bè-Est,BSIC Lomé Port,6.1434,1.27662,banque
Maritime,Golfe,Golfe 6,Baguida,ORABANK Baguida,6.16452,1.32854,banque
Maritime,Golfe,Golfe 6,Baguida,CORIS Bank Avepozo,6.16818,1.34057,banque
Maritime,Golfe,Golfe 4,Amoutivé,ECOBANK Assivito,6.12922,1.22152,banque
Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,ORABANK Agence Terminal du Sahel,6.26898,1.21008,banque
Maritime,Golfe,Golfe 1,Bè-Est,ECOBANK Akodessewa,6.15312,1.26578,banque
Maritime,Golfe,Golfe 1,Bè-Est,ORABANK Port,6.14352,1.2744,banque
Maritime,Golfe,Golfe 1,Bè-Est,BOA Lomé Port,6.14297,1.27451,banque
Maritime,Golfe,Golfe 1,Bè-Est,ECOBANK Rond Point Port,6.14286,1.27453,banque
Maritime,Golfe,Golfe 1,Bè-Est,UTB Lomé Port,6.14358,1.2748,banque
Maritime,Golfe,Golfe 1,Bè-Est,SPT Lomé Port,6.1441,1.27555,banque
Maritime,Golfe,Golfe 1,Bè-Est,BTCI Lomé Port,6.14311,1.27572,banque
Maritime,Golfe,Golfe 3,Bè-Ouest,Banque Atlantique Agence Agbalepedogan,6.19135,1.20826,banque
Maritime,Golfe,Golfe 6,Baguida,BOA Baguida,6.16254,1.32059,banque
Maritime,Golfe,Golfe 6,Baguida,NSIA Baguida,6.16649,1.3349,banque
Maritime,Golfe,Golfe 6,Baguida,BIA Togo Baguida,6.16122,1.31564,banque
Maritime,Golfe,Golfe 2,Bè-Centre,SPT Aeroport International Gnassingbe Eyadema,6.17427,1.25225,banque
Maritime,Golfe,Golfe 2,Bè-Centre,ECOBANK Aerogare,6.17415,1.2521,banque
Maritime,Golfe,Golfe 2,Bè-Centre,NSIA Banque Aeroport International Gnassingbe Eyadema,6.17067,1.25298,banque
Maritime,Golfe,Golfe 2,Bè-Centre,ORABANK Aéroport,6.17073,1.25311,banque
Maritime,Golfe,Golfe 2,Bè-Centre,SPT de L 'aeroport International Gnassingbe Eyadema,6.16822,1.25153,banque
Maritime,Golfe,Golfe 1,Bè-Est,UTB Be Kpehenou,6.13838,1.23672,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,BOA ADidogome,6.18599,1.16515,banque
Maritime,Golfe,Golfe 3,Bè-Ouest,SPT de La Residence du Benin,6.1733,1.22285,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,NSIA Assurance Avé Maria,6.17324,1.1859,banque
Maritime,Golfe,Golfe 5,Aflao-Gakli,UTB Adidoadin,6.20528,1.18991,banque
Maritime,Golfe,Golfe 4,Amoutivé,Banque Atlantique Nyékonakpoè,6.12887,1.22179,banque
Maritime,Golfe,Golfe 4,Amoutivé,UTB Circulaire,6.12668,1.20994,banque
