region,prefecture,nb_cantons,couverture_mobile_moy,mm_1km_pct_moy,togocom_5km_pct_moy,habitants_par_mm_moy,n_banques,n_mfi,n_poste,n_distributeurs,n_marches,cantons_zone_blanche
Maritime,Agoè-Nyivé,6,100.0,86.04,100.0,1409.83,12,47,10,14,20,0
Maritime,Avé,8,64.02,53.79,24.03,943.5,3,11,1,2,11,3
Maritime,Bas-Mono,6,100.0,58.96,28.9,1634.33,0,3,1,0,11,0
Maritime,Golfe,7,100.0,95.58,99.64,335.71,100,86,19,93,47,0
Maritime,Lacs,9,99.99,81.68,0.0,426.11,10,8,4,0,15,0
Maritime,Vo,10,100.0,70.13,0.03,445.3,5,12,2,3,20,0
Maritime,Yoto,12,99.94,68.75,15.57,1968.25,6,13,2,3,32,0
Maritime,Zio,16,98.16,71.68,39.44,467.8,5,27,3,4,40,0
Plateaux,Agou,14,84.09,59.84,29.66,1261.23,1,5,1,0,17,2
Plateaux,Akébou,8,61.06,46.04,0.0,1453.25,0,2,1,0,11,3
Plateaux,Amou,13,98.6,49.23,0.0,1293.0,0,6,3,0,22,0
Plateaux,Anié,6,54.15,40.55,12.45,1361.0,4,6,1,2,26,3
Plateaux,Danyi,6,100.0,72.03,2.88,419.33,0,3,1,0,5,0
Plateaux,Est-Mono,7,70.33,38.55,0.0,992.57,0,3,1,0,20,2
Plateaux,Haho,8,86.24,54.95,21.49,968.0,3,17,2,2,22,1
Plateaux,Kloto,14,100.0,75.43,30.36,973.36,5,10,1,6,18,0
Plateaux,Kpélé,9,93.19,53.41,14.8,767.44,1,7,2,1,25,0
Plateaux,Moyen-Mono,6,100.0,66.12,15.22,1390.17,1,5,1,1,7,0
Plateaux,Ogou,8,91.86,53.04,6.58,1023.38,8,13,3,6,27,0
Plateaux,Wawa,11,100.0,59.77,0.0,916.64,1,3,1,1,13,0
Centrale,Blitta,21,52.08,28.38,9.14,3047.18,3,7,3,1,59,9
Centrale,Mô,5,0.0,50.71,0.0,416.8,1,2,1,0,11,5
Centrale,Sotouboua,11,29.01,47.75,7.27,652.7,5,13,2,4,44,8
Centrale,Tchamba,10,0.1,49.17,22.78,2036.4,1,11,3,0,24,10
Centrale,Tchaoudjo,13,87.35,65.67,19.85,296.31,11,9,3,8,47,1
Kara,Assoli,6,94.74,71.19,23.67,402.17,2,5,1,1,15,0
Kara,Bassar,10,84.88,56.82,14.61,528.5,6,7,3,2,27,2
Kara,Binah,9,96.52,57.25,0.0,742.67,4,5,2,1,22,0
Kara,Dankpen,12,58.12,38.21,5.55,2104.0,3,4,2,0,15,6
Kara,Doufelgou,14,88.47,48.89,23.35,571.64,2,9,2,0,31,1
Kara,Kéran,9,9.93,29.12,10.24,1863.25,4,3,1,0,45,8
Kara,Kozah,15,99.97,74.85,6.45,461.4,16,7,5,10,96,0
Savanes,Cinkassé,7,100.0,47.72,3.09,884.83,0,2,0,0,9,0
Savanes,Kpendjal,4,0.0,34.76,0.0,2575.5,0,0,1,0,9,4
Savanes,Kpendjal-Ouest,7,69.66,52.92,0.0,947.0,0,4,0,0,24,2
Savanes,Oti,7,82.25,49.4,12.41,1597.71,5,6,2,0,25,1
Savanes,Oti-Sud,8,50.12,36.72,7.62,1246.88,1,4,1,0,17,4
Savanes,Tandjoaré,16,99.82,38.49,0.0,1384.0,1,7,1,0,61,0
Savanes,Tône,18,98.59,48.11,5.37,873.72,7,9,1,9,64,0
