region,prefecture,population,nb_agences,nb_agences_moov,nb_agences_togocom,nb_datacenters,nb_agents_mobile_money,population_par_agence,population_par_agent_mm,agences_pour_100k_hab,agents_mm_pour_10k_hab
Maritime,Golfe,1305681,26,12,14,3,5121,50218,255,1.99,39.22
Maritime,Agoè-Nyivé,882695,14,2,12,0,1398,63050,631,1.59,15.84
Maritime,Zio,500032,5,2,3,0,779,100006,642,1.0,15.58
Maritime,Yoto,174851,1,0,1,0,160,174851,1093,0.57,9.15
Maritime,Bas-Mono,94860,2,0,2,0,183,47430,518,2.11,19.29
Maritime,Lacs,241247,0,0,0,0,741,,326,0.0,30.72
Maritime,Vo,224411,0,0,0,0,476,,471,0.0,21.21
Maritime,Avé,111214,3,1,2,0,128,37071,869,2.7,11.51
Plateaux,Ogou,253467,1,0,1,0,421,253467,602,0.39,16.61
Plateaux,Moyen-Mono,90505,1,0,1,0,81,90505,1117,1.1,8.95
Plateaux,Haho,305096,3,1,2,0,453,101699,674,0.98,14.85
Plateaux,Agou,85793,1,0,1,0,224,85793,383,1.17,26.11
Plateaux,Kloto,145986,2,1,1,0,503,72993,290,1.37,34.46
Plateaux,Kpélé,80939,2,1,1,0,255,40470,317,2.47,31.51
Plateaux,Danyi,40240,0,0,0,0,142,,283,0.0,35.29
Plateaux,Wawa,101300,0,0,0,0,244,,415,0.0,24.09
Plateaux,Akébou,73830,0,0,0,0,87,,849,0.0,11.78
Plateaux,Amou,114172,0,0,0,0,175,,652,0.0,15.33
Plateaux,Anié,180158,2,1,1,0,285,90079,632,1.11,15.82
Plateaux,Est-Mono,164460,0,0,0,0,209,,787,0.0,12.71
Centrale,Tchaoudjo,240360,4,1,3,0,1411,60090,170,1.66,58.7
Centrale,Tchamba,200585,2,0,2,0,205,100292,978,1.0,10.22
Centrale,Blitta,163272,2,1,1,0,90,81636,1814,1.22,5.51
Centrale,Sotouboua,138864,3,1,2,0,355,46288,391,2.16,25.56
Centrale,Mô,52448,0,0,0,0,32,,1639,0.0,6.1
Kara,Kozah,283738,2,1,1,0,1562,141869,182,0.7,55.05
Kara,Assoli,66394,1,0,1,0,228,66394,291,1.51,34.34
Kara,Bassar,152065,3,1,2,0,436,50688,349,1.97,28.67
Kara,Dankpen,185662,1,0,1,0,190,185662,977,0.54,10.23
Kara,Kéran,128687,2,0,2,0,139,64344,926,1.55,10.8
Kara,Doufelgou,84767,1,0,1,0,184,84767,461,1.18,21.71
Kara,Binah,84199,0,0,0,0,212,,397,0.0,25.18
Savanes,Tône,388775,2,1,1,0,1280,194388,304,0.51,32.92
Savanes,Cinkassé,128959,2,1,1,0,543,64480,237,1.55,42.11
Savanes,Kpendjal-Ouest,123330,0,0,0,0,129,,956,0.0,10.46
Savanes,Kpendjal,88365,0,0,0,0,41,,2155,0.0,4.64
Savanes,Oti-Sud,150376,1,0,1,0,159,150376,946,0.66,10.57
Savanes,Oti,124848,1,0,1,0,368,124848,339,0.8,29.48
Savanes,Tandjoaré,138867,0,0,0,0,159,,873,0.0,11.45
